study,fixture_id,competition,packet_hash,call_index,status,generation_id,schema_version,prompt_version,packet_schema_version,resolved_model_id,input_tokens,output_tokens,latency_s,cost_usd,cache_hit,reject_field,reject_reason,created_unix
repeatability,mt_629405324,ligue1,92a2ad2e3e770fb1bd705273f2a217d95324e1cbaccb5938838f60685a86e547,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31314,5492,50.338,0.176322,False,,,1789273866
repeatability,mt_629405324,ligue1,92a2ad2e3e770fb1bd705273f2a217d95324e1cbaccb5938838f60685a86e547,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31314,5455,49.765,0.175767,False,,,1789273866
repeatability,mt_629405324,ligue1,92a2ad2e3e770fb1bd705273f2a217d95324e1cbaccb5938838f60685a86e547,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31314,5455,51.123,0.175767,False,,,1789273866
repeatability,mt_584193347,ligue2,5a340e074d44113e31fae21ca6f740af546ef0158b471c43d559608bb82a5395,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,32137,5604,50.302,0.180471,False,,,1789274016
repeatability,mt_584193347,ligue2,5a340e074d44113e31fae21ca6f740af546ef0158b471c43d559608bb82a5395,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,32137,5570,50.728,0.179961,False,,,1789274016
repeatability,mt_584193347,ligue2,5a340e074d44113e31fae21ca6f740af546ef0158b471c43d559608bb82a5395,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,32137,5313,48.586,0.176106,False,,,1789274016
repeatability,mt_839904828,champ,aa1301e01d01a4b467edd072c7b8b16d3cd57ac7d3b6fcce5401da3896b49038,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,29272,5990,53.846,0.177666,False,,,1789274174
repeatability,mt_839904828,champ,aa1301e01d01a4b467edd072c7b8b16d3cd57ac7d3b6fcce5401da3896b49038,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,29272,5415,49.486,0.169041,False,,,1789274174
repeatability,mt_839904828,champ,aa1301e01d01a4b467edd072c7b8b16d3cd57ac7d3b6fcce5401da3896b49038,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,29272,6007,54.824,0.177921,False,,,1789274174
repeatability,mt_629493944,epl,9d5841f3fc6e90cb98cc8458ffe016b5bacfebf8ef807a4f752781997a7eae52,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31816,5445,49.523,0.177123,False,,,1789274323
repeatability,mt_629493944,epl,9d5841f3fc6e90cb98cc8458ffe016b5bacfebf8ef807a4f752781997a7eae52,1,LLM_STATE_REJECTED,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31816,5350,49.718,0.175698,False,team_a_states[10]/evidence_ids,cited id not in packet: A_DIS_interceptions_for_aa5f64,1789274323
repeatability,mt_629493944,epl,9d5841f3fc6e90cb98cc8458ffe016b5bacfebf8ef807a4f752781997a7eae52,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31816,5444,49.996,0.177108,False,,,1789274323
repeatability,mt_196567553,laliga,bbf7b93031cff36034af07cea932641e4c9a2d549caeb76e7103fcd419fdc399,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31335,5850,55.848,0.181755,False,,,1789274497
repeatability,mt_196567553,laliga,bbf7b93031cff36034af07cea932641e4c9a2d549caeb76e7103fcd419fdc399,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31335,6378,58.516,0.189675,False,,,1789274497
repeatability,mt_196567553,laliga,bbf7b93031cff36034af07cea932641e4c9a2d549caeb76e7103fcd419fdc399,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31335,6378,58.821,0.189675,False,,,1789274497
repeatability,mt_013481284,laliga2,7fb4de9df5408bc9c24a3891573187190e62c3c0267c71e22eb4f5fdc9ed53f2,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31353,5486,50.458,0.176349,False,,,1789274655
repeatability,mt_013481284,laliga2,7fb4de9df5408bc9c24a3891573187190e62c3c0267c71e22eb4f5fdc9ed53f2,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31353,6009,56.698,0.184194,False,,,1789274655
repeatability,mt_013481284,laliga2,7fb4de9df5408bc9c24a3891573187190e62c3c0267c71e22eb4f5fdc9ed53f2,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31353,5554,50.603,0.177369,False,,,1789274655
repeatability,mt_830976530,ligue1,fb2593911260c20ab016a93343e28b3f722f85bc0e545c2f25e7dc91422e0d8c,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,30889,5716,51.522,0.178407,False,,,1789274809
repeatability,mt_830976530,ligue1,fb2593911260c20ab016a93343e28b3f722f85bc0e545c2f25e7dc91422e0d8c,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,30889,5677,51.851,0.177822,False,,,1789274809
repeatability,mt_830976530,ligue1,fb2593911260c20ab016a93343e28b3f722f85bc0e545c2f25e7dc91422e0d8c,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,30889,5663,50.707,0.177612,False,,,1789274809
repeatability,mt_584193391,ligue2,6f27cfd888f5e45b0b39295a362a554c6877c6cb8c9d07967b8b1f1d4b00e0ca,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,30923,5421,50.186,0.174084,False,,,1789274957
repeatability,mt_584193391,ligue2,6f27cfd888f5e45b0b39295a362a554c6877c6cb8c9d07967b8b1f1d4b00e0ca,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,30923,5171,48.675,0.170334,False,,,1789274957
repeatability,mt_584193391,ligue2,6f27cfd888f5e45b0b39295a362a554c6877c6cb8c9d07967b8b1f1d4b00e0ca,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,30923,5421,49.328,0.174084,False,,,1789274957
repeatability,mt_978826968,champ,16eb9ca0a0e13008ed428ffe5b4404d6914597b2e91eebf94cbb3103c4e68385,0,LLM_STATE_REJECTED,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,29127,5630,50.392,0.171831,False,<root>/team_b_states[4]/level,invalid enum value 'MEDIUM_LOW',1789275112
repeatability,mt_978826968,champ,16eb9ca0a0e13008ed428ffe5b4404d6914597b2e91eebf94cbb3103c4e68385,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,29127,6041,54.373,0.177996,False,,,1789275112
